question,ground_truth,contexts,evolution_type
Nhân viên cấp Manager được hưởng phụ cấp điện thoại bao nhiêu tiền mỗi tháng?,500.000 VNĐ/tháng,"## Phụ cấp điện thoại
Nhân viên cấp Manager trở lên được hưởng phụ cấp điện thoại **500.000 VNĐ/tháng**. Nhân viên cấp Lead được hưởng 300.000 VNĐ/tháng. Các cấp bậc khác không có phụ cấp điện thoại.",simple
Chi phí nào cần có hóa đơn hoặc biên lai hợp lệ?,Chi phí trên 200.000 VNĐ,"## Chứng từ yêu cầu
Mọi chi phí **trên 200.000 VNĐ** phải có **hóa đơn hoặc biên lai** hợp lệ. Chi phí dưới 200.000 VNĐ có thể khai báo không cần hóa đơn nhưng phải ghi rõ mục đích và ngày phát sinh.",simple
Lương tháng 13 được chi trả vào tháng nào?,tháng 1,"## Lương tháng 13
Nhân viên chính thức được hưởng **lương tháng 13**, chi trả vào tháng 1 hàng năm (trước Tết Nguyên đán). Mức lương tháng 13 bằng 1 tháng lương cơ bản, tính pro-rata cho nhân viên chưa đủ 12 tháng.",simple
Nhân viên chính thức được phép làm việc từ xa tối đa bao nhiêu ngày mỗi tuần?,2 ngày/tuần,"## Quy định chung
Nhân viên chính thức được phép làm việc từ xa tối đa **2 ngày/tuần**. Lịch WFH phải được đăng ký và phê duyệt bởi quản lý trực tiếp vào **thứ Hai** đầu tuần.",simple
Chính sách nào đã được thay thế từ ngày 01/07/2024?,Chính sách mật khẩu v2.0,"## Lưu ý
Chính sách này đã được thay thế bởi Chính sách mật khẩu v2.0 từ ngày 01/07/2024. Vui lòng tham khảo phiên bản mới để biết quy định hiện hành.",simple
Mức phụ cấp ngày cho công tác trong nước là bao nhiêu?,800.000 VNĐ/ngày,"## Công tác trong nước
- **Phụ cấp ngày**: **800.000 VNĐ/ngày** (bao gồm ăn uống và di chuyển nội thành)
- **Khách sạn**: tối đa **1.200.000 VNĐ/đêm**, thanh toán theo hóa đơn thực tế
- **Vé máy bay**: hạng phổ thông, đặt trước ít nhất 5 ngày. Cấp Manager trở lên được bay hạng thương gia cho chặng trên 2 giờ",simple
Xếp loại nào có điểm từ 4.5 đến 5.0?,Xuất sắc,"## Thang điểm
| Xếp loại | Điểm | Mô tả |
|-----------|-------|--------|
| Xuất sắc | 4.5-5.0 | Vượt xa kỳ vọng |
| Tốt | 3.5-4.4 | Đáp ứng và vượt kỳ vọng |
| Đạt | 2.5-3.4 | Đáp ứng kỳ vọng cơ bản |
| Cần cải thiện | <2.5 | Chưa đáp ứng kỳ vọng |",simple
"Theo chính sách mentor/buddy, một người phải đáp ứng tiêu chí gì để được làm mentor?","Mentor phải là nhân viên cấp Senior trở lên, khác phòng ban hoặc cùng phòng ban nhưng không phải quản lý trực tiếp.","## Phân biệt Mentor và Buddy
- **Mentor**: hỗ trợ **chuyên môn kỹ thuật**, hướng dẫn phát triển nghề nghiệp, chia sẻ kiến thức chuyên sâu. Mentor phải là nhân viên cấp Senior trở lên, khác phòng ban hoặc cùng phòng ban nhưng không phải quản lý trực tiếp.
- **Buddy**: hỗ trợ **văn hóa và hòa nhập**, giúp nhân viên mới làm quen môi trường, giới thiệu đồng nghiệp, hướng dẫn quy trình hàng ngày. Buddy là nhân viên cùng phòng ban, thâm niên từ 6 tháng.",simple
Mức thưởng Tết được tính dựa trên bao nhiêu yếu tố chính?,Hai yếu tố chính,"## Tiêu chí tính thưởng
Mức thưởng Tết được tính dựa trên hai yếu tố chính:
- **Kết quả đánh giá hiệu suất cá nhân** (trọng số 60%): dựa trên kết quả đánh giá cuối năm
- **Kết quả kinh doanh của công ty** (trọng số 40%): nếu công ty đạt/vượt chỉ tiêu doanh thu",simple
Thời hạn thanh toán khoản tạm ứng là bao lâu?,15 ngày,"## Thời hạn thanh toán
Khoản tạm ứng phải được thanh toán (nộp chứng từ hoàn ứng) trong vòng **15 ngày** kể từ ngày nhận tiền. Trường hợp công tác dài ngày, thời hạn tính từ ngày kết thúc chuyến công tác.",simple
Các bước trong quy trình đề xuất mua sắm là gì?,"1. Tạo phiếu đề xuất mua sắm trên hệ thống Procurement Portal, 2. Đính kèm ít nhất 3 báo giá cho đơn hàng trên 10.000.000 VNĐ, 3. Chờ phê duyệt theo thẩm quyền tương ứng, 4. Phòng Mua sắm đặt hàng và theo dõi giao nhận.","## Quy trình đề xuất
1. Tạo phiếu đề xuất mua sắm trên hệ thống Procurement Portal
2. Đính kèm ít nhất 3 báo giá cho đơn hàng trên 10.000.000 VNĐ
3. Chờ phê duyệt theo thẩm quyền tương ứng
4. Phòng Mua sắm đặt hàng và theo dõi giao nhận",simple
KPI cá nhân chiếm bao nhiêu phần trăm tổng điểm trong cơ cấu đánh giá?,70%,"## Cơ cấu đánh giá
- **KPI cá nhân**: chiếm **70%** tổng điểm, do quản lý trực tiếp đánh giá dựa trên mục tiêu đã thống nhất đầu kỳ
- **Peer review**: chiếm **30%** tổng điểm, do 3-5 đồng nghiệp đánh giá về tinh thần hợp tác, giao tiếp và chuyên môn",simple
Hạn mức bảo hiểm cho mỗi người trong gói gia đình là bao nhiêu?,50.000.000 VNĐ/năm/người,"## Gói gia đình
Nhân viên có thể đăng ký thêm gói bảo hiểm cho người thân (vợ/chồng, con dưới 18 tuổi) với hạn mức **50.000.000 VNĐ/năm/người**. Chi phí gói gia đình: công ty hỗ trợ 50%, nhân viên đóng 50% qua khấu trừ lương hàng tháng.",simple
Thời gian xử lý sự cố nghiêm trọng là bao lâu?,2 giờ,"## Phân loại sự cố
- **Nghiêm trọng**: rò rỉ dữ liệu Bí mật/Tối mật, tấn công ransomware → xử lý trong 2 giờ
- **Cao**: phishing thành công, tài khoản bị chiếm → xử lý trong 4 giờ
- **Trung bình**: phát hiện malware trên 1 máy, truy cập trái phép → xử lý trong 8 giờ
- **Thấp**: email spam, cảnh báo antivirus tự động → xử lý trong 24 giờ",simple
Những vị trí nào không được áp dụng WFH?,"lễ tân, nhân viên kho, bảo vệ, nhân viên vận hành hạ tầng IT.","## Hạn chế
Một số vị trí không được áp dụng WFH: lễ tân, nhân viên kho, bảo vệ, nhân viên vận hành hạ tầng IT. Trong các tuần có sự kiện toàn công ty (All-hands, Team building), WFH không được áp dụng.",simple
Phiên bản của chính sách mật khẩu là bao nhiêu?,1.0,"# Chính sách mật khẩu (Phiên bản cũ)
> Phiên bản: 1.0 | Ngày hiệu lực: 01/01/2022 | Phòng ban: CNTT | Trạng thái: ĐÃ THAY THẾ bởi v2.0",simple
Có bao nhiêu giờ thì phiên VPN tự động ngắt?,12 giờ,"## Quy định sử dụng
- Không chia sẻ thông tin đăng nhập VPN
- Ngắt kết nối VPN khi không sử dụng
- Không sử dụng VPN cá nhân (NordVPN, ExpressVPN) trong mạng công ty
- Phiên VPN tự động ngắt sau 12 giờ, cần đăng nhập lại",simple
Nhân viên cần làm gì khi khám ngoài danh sách bệnh viện/phòng khám liên kết?,Thanh toán trước và nộp hồ sơ bồi hoàn trong vòng 30 ngày.,"## Quy trình sử dụng
Nhân viên xuất trình thẻ bảo hiểm PVI tại các bệnh viện/phòng khám trong danh sách liên kết. Trường hợp khám ngoài danh sách, nhân viên thanh toán trước và nộp hồ sơ bồi hoàn trong vòng 30 ngày. Thời gian xử lý bồi hoàn: 10-15 ngày làm việc.",simple
Phiên bản của chính sách mật khẩu là gì?,1.0,"# Chính sách mật khẩu (Phiên bản cũ)
> Phiên bản: 1.0 | Ngày hiệu lực: 01/01/2022 | Phòng ban: CNTT | Trạng thái: ĐÃ THAY THẾ bởi v2.0",simple
Nhân viên có thể tạm ứng tối đa bao nhiêu tiền cho mỗi lần đề xuất?,20.000.000 VNĐ,"## Hạn mức tạm ứng
Nhân viên có thể tạm ứng tối đa **20.000.000 VNĐ** cho mỗi lần đề xuất. Tạm ứng phải ghi rõ mục đích: công tác, mua sắm, tổ chức sự kiện hoặc chi phí dự án.",simple
Nhân viên được hưởng chế độ nghỉ ốm tối đa bao nhiêu ngày trong một năm?,30 ngày/năm,"## Chế độ bảo hiểm
Nhân viên được hưởng chế độ nghỉ ốm tối đa **30 ngày/năm** theo bảo hiểm xã hội. Trong thời gian nghỉ ốm có bảo hiểm, nhân viên được hưởng 75% mức lương đóng bảo hiểm. Công ty bổ sung thêm 25% để đảm bảo nhân viên nhận đủ 100% lương cơ bản.",simple
Phụ cấp ngày là bao nhiêu VNĐ?,800.000 VNĐ/ngày,"## Công tác trong nước
- **Phụ cấp ngày**: **800.000 VNĐ/ngày** (bao gồm ăn uống và di chuyển nội thành)
- **Khách sạn**: tối đa **1.200.000 VNĐ/đêm**, thanh toán theo hóa đơn thực tế
- **Vé máy bay**: hạng phổ thông, đặt trước ít nhất 5 ngày. Cấp Manager trở lên được bay hạng thương gia cho chặng trên 2 giờ",simple
