question_id,accuracy,relevance,conciseness,helpfulness,overall,mode
1,4,5,3,4,4.0,heuristic
2,3,5,3,4,3.75,heuristic
3,3,3,3,3,3.0,heuristic
4,4,5,3,4,4.0,heuristic
5,3,4,3,4,3.5,heuristic
6,3,4,3,4,3.5,heuristic
7,4,4,3,4,3.75,heuristic
8,4,4,3,4,3.75,heuristic
9,4,5,3,4,4.0,heuristic
10,4,5,3,4,4.0,heuristic
11,4,5,3,4,4.0,heuristic
12,4,4,3,4,3.75,heuristic
13,3,4,3,4,3.5,heuristic
14,4,4,3,4,3.75,heuristic
15,3,4,3,4,3.5,heuristic
16,4,5,3,4,4.0,heuristic
17,3,3,3,3,3.0,heuristic
18,3,3,3,3,3.0,heuristic
19,3,4,3,4,3.5,heuristic
20,3,3,3,3,3.0,heuristic
21,3,4,3,4,3.5,heuristic
22,3,3,3,3,3.0,heuristic
23,3,4,3,4,3.5,heuristic
24,4,4,3,4,3.75,heuristic
25,3,4,3,4,3.5,heuristic
26,3,4,3,4,3.5,heuristic
27,3,4,3,4,3.5,heuristic
28,3,4,3,4,3.5,heuristic
29,3,4,3,4,3.5,heuristic
30,4,4,3,4,3.75,heuristic
